gvkey,formyear,filename,subfolder,filetype,is_esef,esef_filetype,filing_date,size_bytes,size_mb,last_modified,created
220326,2022,JA.xhtml.html.gzip,/Users/mbp16/Dropbox/data/proj/bmcg/bundesanzeiger/public/220326/2022/simona_Jahres-_2023-05-02_esef_xmls,ESEF,True,ESEF Report XHTML file,2023-05-02,362080,0.345306396484375,2025-02-01 04:35:11.519776,2025-02-01 04:35:11.552817
220326,2021,JA.xhtml.html.gzip,/Users/mbp16/Dropbox/data/proj/bmcg/bundesanzeiger/public/220326/2021/simona_Jahres-_2022-05-24_esef_xmls,ESEF,True,ESEF Report XHTML file,2022-05-24,489784,0.46709442138671875,2025-02-01 04:35:22.023027,2025-02-01 04:35:22.101383
241788,2022,529900F7WN69SXTGTM29-2022-12-31-de.xhtml.html.gzip,/Users/mbp16/Dropbox/data/proj/bmcg/bundesanzeiger/public/241788/2022/masterflex_Jahres-_2023-04-21_esef_xmls,ESEF,True,iXBRL/ESEF Instance XHTML file,2023-04-21,2377627,2.267481803894043,2025-02-01 08:08:44.663936,2025-02-01 08:08:44.786704
220326,2023,JA.xhtml.html.gzip,/Users/mbp16/Dropbox/data/proj/bmcg/bundesanzeiger/public/220326/2023/simona_Jahres-_2024-04-29_esef_xmls,ESEF,True,ESEF Report XHTML file,2024-04-29,519164,0.4951133728027344,2025-02-01 04:34:59.712955,2025-02-01 04:34:59.779303
278436,2022,JALABE.xhtml.html.gzip,/Users/mbp16/Dropbox/data/proj/bmcg/bundesanzeiger/public/278436/2022/yoc_Jahresabschluss_2023-04-26_esef_xmls,ESEF,True,ESEF Report XHTML file,2023-04-26,112009,0.10682010650634766,2025-02-01 10:40:53.961357,2025-02-01 10:40:54.072604
278436,2022,KALABE.xhtml.html.gzip,/Users/mbp16/Dropbox/data/proj/bmcg/bundesanzeiger/public/278436/2022/yoc_Konzernabschluss_2023-05-02_esef_xmls,ESEF,True,ESEF Report XHTML file,2023-05-02,83641,0.07976627349853516,2025-02-01 10:40:46.930953,2025-02-01 10:40:47.047530
278436,2023,KALABE.xhtml.html.gzip,/Users/mbp16/Dropbox/data/proj/bmcg/bundesanzeiger/public/278436/2023/yoc_Jahres-_2024-05-10_esef_xmls,ESEF,True,ESEF Report XHTML file,2024-05-10,59351,0.056601524353027344,2025-02-01 10:40:35.020219,2025-02-01 10:40:35.125042
220326,2020,JA.xhtml.html.gzip,/Users/mbp16/Dropbox/data/proj/bmcg/bundesanzeiger/public/220326/2020/simona_Jahres-_2021-06-10_esef_xmls,ESEF,True,ESEF Report XHTML file,2021-06-10,413280,0.394134521484375,2025-02-01 04:35:37.181742,2025-02-01 04:35:37.272755
220326,2022,529900BTXZALKUBU3387-2022-12-31-de.xhtml.html.gzip,/Users/mbp16/Dropbox/data/proj/bmcg/bundesanzeiger/public/220326/2022/simona_Jahres-_2023-05-02_esef_xmls,ESEF,True,iXBRL/ESEF Instance XHTML file,2023-05-02,987489,0.9417428970336914,2025-02-01 04:35:14.481880,2025-02-01 04:35:14.526019
275929,2020,ecotel_20201231_JA.xhtml.html.gzip,/Users/mbp16/Dropbox/data/proj/bmcg/bundesanzeiger/public/275929/2020/ecotel_communication_2021-06-01_esef_xmls,ESEF,True,ESEF Report XHTML file,2021-06-01,7305331,6.966906547546387,2025-02-01 10:24:06.687965,2025-02-01 10:24:06.708538
